,mpg,cylinders,displacement,horsepower,weight,acceleration,model year,origin,car name,Prediction
182,29.0,4,90.0,70.0,1937,14.0,75,2,volkswagen rabbit,61.92359692404432
183,19.0,6,232.0,90.0,3211,17.0,75,1,amc pacer,88.4008941149608
184,23.0,4,115.0,95.0,2694,15.0,75,2,audi 100ls,75.26707650997284
185,23.0,4,120.0,88.0,2957,17.0,75,2,peugeot 504,75.26707650997284
186,22.0,4,121.0,98.0,2945,14.5,75,2,volvo 244dl,78.13705426270423
187,25.0,4,121.0,115.0,2671,13.5,75,2,saab 99le,70.16490462045655
188,33.0,4,91.0,53.0,1795,17.5,75,3,honda civic cvcc,55.541184597988995
189,28.0,4,107.0,86.0,2464,15.5,76,2,fiat 131,63.78020267961698
190,25.0,4,116.0,81.0,2220,16.9,76,2,opel 1900,70.16490462045655
191,25.0,4,140.0,92.0,2572,14.9,76,1,capri ii,70.16490462045655
192,26.0,4,98.0,79.0,2255,17.7,76,1,dodge colt,67.88603970217332
193,27.0,4,101.0,83.0,2202,15.3,76,2,renault 12tl,65.7630960771659
194,17.5,8,305.0,140.0,4215,13.0,76,1,chevrolet chevelle malibu classic,94.73788560547904
195,16.0,8,318.0,150.0,4190,13.0,76,1,dodge coronet brougham,102.16137851664071
196,15.5,8,304.0,120.0,3962,13.9,76,1,amc matador,104.92871883778314
197,14.5,8,351.0,152.0,4215,12.8,76,1,ford gran torino,110.98834371394327
198,22.0,6,225.0,100.0,3233,15.4,76,1,plymouth valiant,78.13705426270423
199,22.0,6,250.0,105.0,3353,14.5,76,1,chevrolet nova,78.13705426270423
200,24.0,6,200.0,81.0,3012,17.6,76,1,ford maverick,72.6180944050014
201,22.5,6,232.0,90.0,3085,17.6,76,1,amc hornet,76.67269784373177
202,29.0,4,85.0,52.0,2035,22.2,76,1,chevrolet chevette,61.92359692404432
203,24.5,4,98.0,60.0,2164,22.1,76,1,chevrolet woody,71.36844609072757
204,29.0,4,90.0,70.0,1937,14.2,76,2,vw rabbit,61.92359692404432
205,33.0,4,91.0,53.0,1795,17.4,76,3,honda civic,55.541184597988995
206,20.0,6,225.0,100.0,3651,17.7,76,1,dodge aspen se,84.66488870549858
207,18.0,6,250.0,78.0,3574,21.0,76,1,ford granada ghia,92.51755510542347
208,18.5,6,250.0,110.0,3645,16.2,76,1,pontiac ventura sj,90.40799172407849
209,17.5,6,258.0,95.0,3193,17.8,76,1,amc pacer d/l,94.73788560547904
210,29.5,4,97.0,71.0,1825,12.2,76,2,volkswagen rabbit,61.038842279198576
211,32.0,4,85.0,70.0,1990,17.0,76,3,datsun b-210,56.99877854537647
212,28.0,4,97.0,75.0,2155,16.4,76,3,toyota corolla,63.78020267961698
213,26.5,4,140.0,72.0,2565,13.6,76,1,ford pinto,66.80612359973611
214,20.0,4,130.0,102.0,3150,15.7,76,2,volvo 245,84.66488870549858
215,13.0,8,318.0,150.0,3940,13.2,76,1,plymouth volare premier v8,121.67508804575947
216,19.0,4,120.0,88.0,3270,21.9,76,2,peugeot 504,88.4008941149608
217,19.0,6,156.0,108.0,2930,15.5,76,3,toyota mark ii,88.4008941149608
218,16.5,6,168.0,120.0,3820,16.7,76,2,mercedes-benz 280s,99.54886977903556
219,16.5,8,350.0,180.0,4380,12.1,76,1,cadillac seville,99.54886977903556
220,13.0,8,350.0,145.0,4055,12.0,76,1,chevy c10,121.67508804575947
221,13.0,8,302.0,130.0,3870,15.0,76,1,ford f108,121.67508804575947
222,13.0,8,318.0,150.0,3755,14.0,76,1,dodge d100,121.67508804575947
223,31.5,4,98.0,68.0,2045,18.5,77,3,honda accord cvcc,57.759483101389264
224,30.0,4,111.0,80.0,2155,14.8,77,1,buick opel isuzu deluxe,60.18128347596023
225,36.0,4,79.0,58.0,1825,18.6,77,2,renault 5 gtl,51.61821141787679
226,25.5,4,122.0,96.0,2300,15.5,77,1,plymouth arrow gs,69.00489676456594
227,33.5,4,85.0,70.0,1945,16.8,77,3,datsun f-10 hatchback,54.84248781355096
228,17.5,8,305.0,145.0,3880,12.5,77,1,chevrolet caprice classic,94.73788560547904
229,17.0,8,260.0,110.0,4060,19.0,77,1,oldsmobile cutlass supreme,97.0782204576965
230,15.5,8,318.0,145.0,4140,13.7,77,1,dodge monaco brougham,104.92871883778314
231,15.0,8,302.0,130.0,4295,14.9,77,1,mercury cougar brougham,107.86551988847043
232,17.5,6,250.0,110.0,3520,16.4,77,1,chevrolet concours,94.73788560547904
233,20.5,6,231.0,105.0,3425,16.9,77,1,buick skylark,82.92309210015907
234,19.0,6,225.0,100.0,3630,17.7,77,1,plymouth volare custom,88.4008941149608
235,18.5,6,250.0,98.0,3525,19.0,77,1,ford granada,90.40799172407849
236,16.0,8,400.0,180.0,4220,11.1,77,1,pontiac grand prix lj,102.16137851664071
237,15.5,8,350.0,170.0,4165,11.4,77,1,chevrolet monte carlo landau,104.92871883778314
238,15.5,8,400.0,190.0,4325,12.2,77,1,chrysler cordoba,104.92871883778314
239,16.0,8,351.0,149.0,4335,14.5,77,1,ford thunderbird,102.16137851664071
240,29.0,4,97.0,78.0,1940,14.5,77,2,volkswagen rabbit custom,61.92359692404432
241,24.5,4,151.0,88.0,2740,16.0,77,1,pontiac sunbird coupe,71.36844609072757
242,26.0,4,97.0,75.0,2265,18.2,77,3,toyota corolla liftback,67.88603970217332
243,25.5,4,140.0,89.0,2755,15.8,77,1,ford mustang ii 2+2,69.00489676456594
244,30.5,4,98.0,63.0,2051,17.0,77,1,chevrolet chevette,59.34965186152547
245,33.5,4,98.0,83.0,2075,15.9,77,1,dodge colt m/m,54.84248781355096
246,30.0,4,97.0,67.0,1985,16.4,77,3,subaru dl,60.18128347596023
247,30.5,4,97.0,78.0,2190,14.1,77,2,volkswagen dasher,59.34965186152547
248,22.0,6,146.0,97.0,2815,14.5,77,3,datsun 810,78.13705426270423
249,21.5,4,121.0,110.0,2600,12.8,77,2,bmw 320i,79.66402051419287
250,21.5,3,80.0,110.0,2720,13.5,77,3,mazda rx-4,79.66402051419287
251,43.1,4,90.0,48.0,1985,21.5,78,2,volkswagen rabbit custom diesel,44.36002251012442
252,36.1,4,98.0,66.0,1800,14.4,78,1,ford fiesta,51.49781206963028
253,32.8,4,78.0,52.0,1985,19.4,78,3,mazda glc deluxe,55.82615220053863
254,39.4,4,85.0,70.0,2070,18.6,78,3,datsun b210 gx,47.84183578363002
255,36.1,4,91.0,60.0,1800,16.4,78,3,honda civic cvcc,51.49781206963028
256,19.9,8,260.0,110.0,3365,15.5,78,1,oldsmobile cutlass salon brougham,85.02291189120517
257,19.4,8,318.0,140.0,3735,13.2,78,1,dodge diplomat,86.8639386330501
258,20.2,8,302.0,139.0,3570,12.8,78,1,mercury monarch ghia,83.95864217373202
259,19.2,6,231.0,105.0,3535,19.2,78,1,pontiac phoenix lj,87.62504437314273
260,20.5,6,200.0,95.0,3155,18.2,78,1,chevrolet malibu,82.92309210015907
261,20.2,6,200.0,85.0,2965,15.8,78,1,ford fairmont (auto),83.95864217373202
262,25.1,4,140.0,88.0,2720,15.4,78,1,ford fairmont (man),69.92949923590626
263,20.5,6,225.0,100.0,3430,17.2,78,1,plymouth volare,82.92309210015907
264,19.4,6,232.0,90.0,3210,17.2,78,1,amc concord,86.8639386330501
265,20.6,6,231.0,105.0,3380,15.8,78,1,buick century special,82.58408528993355
266,20.8,6,200.0,85.0,3070,16.7,78,1,mercury zephyr,81.91508314779148
267,18.6,6,225.0,110.0,3620,18.7,78,1,dodge aspen,89.99862548526717
268,18.1,6,258.0,120.0,3410,15.1,78,1,amc concord d/l,92.08705938625097
269,19.2,8,305.0,145.0,3425,13.2,78,1,chevrolet monte carlo landau,87.62504437314273
270,17.7,6,231.0,165.0,3445,13.4,78,1,buick regal sport coupe (turbo),93.83589262254259
271,18.1,8,302.0,139.0,3205,11.2,78,1,ford futura,92.08705938625097
272,17.5,8,318.0,140.0,4080,13.7,78,1,dodge magnum xe,94.73788560547904
273,30.0,4,98.0,68.0,2155,16.5,78,1,chevrolet chevette,60.18128347596023
274,27.5,4,134.0,95.0,2560,14.2,78,3,toyota corona,64.75504832630837
275,27.2,4,119.0,97.0,2300,14.7,78,3,datsun 510,65.35578176562483
276,30.9,4,105.0,75.0,2230,14.5,78,1,dodge omni,58.702212019958566
277,21.1,4,134.0,95.0,2515,14.8,78,3,toyota celica gt liftback,80.93350124218716
278,23.2,4,156.0,105.0,2745,16.7,78,1,plymouth sapporo,74.72046702233865
279,23.8,4,151.0,85.0,2855,17.6,78,1,oldsmobile starfire sx,73.13147954526636
280,23.9,4,119.0,97.0,2405,14.9,78,3,datsun 200-sx,72.87379787733607
281,20.3,5,131.0,103.0,2830,15.9,78,2,audi 5000,83.6103273196715
282,17.0,6,163.0,125.0,3140,13.6,78,2,volvo 264gl,97.0782204576965
283,21.6,4,121.0,115.0,2795,15.7,78,2,saab 99gle,79.35342092204546
284,16.2,6,163.0,133.0,3410,15.8,78,2,peugeot 604sl,101.09855612588987
285,31.5,4,89.0,71.0,1990,14.9,78,2,volkswagen scirocco,57.759483101389264
286,29.5,4,98.0,68.0,2135,16.6,78,3,honda accord lx,61.038842279198576
287,21.5,6,231.0,115.0,3245,15.4,79,1,pontiac lemans v6,79.66402051419287
288,19.8,6,200.0,85.0,2990,18.2,79,1,mercury zephyr 6,85.38426417438508
289,22.3,4,140.0,88.0,2890,17.3,79,1,ford fairmont 4,77.25118269236717
290,20.2,6,232.0,90.0,3265,18.2,79,1,amc concord dl 6,83.95864217373202
291,20.6,6,225.0,110.0,3360,16.6,79,1,dodge aspen 6,82.58408528993355
292,17.0,8,305.0,130.0,3840,15.4,79,1,chevrolet caprice classic,97.0782204576965
293,17.6,8,302.0,129.0,3725,13.4,79,1,ford ltd landau,94.28452926306144
294,16.5,8,351.0,138.0,3955,13.2,79,1,mercury grand marquis,99.54886977903556
295,18.2,8,318.0,135.0,3830,15.2,79,1,dodge st. regis,91.66092219896552
296,16.9,8,350.0,155.0,4360,14.9,79,1,buick estate wagon (sw),97.56157462831948
297,15.5,8,351.0,142.0,4054,14.3,79,1,ford country squire (sw),104.92871883778314
298,19.2,8,267.0,125.0,3605,15.0,79,1,chevrolet malibu classic (sw),87.62504437314273
299,18.5,8,360.0,150.0,3940,13.0,79,1,chrysler lebaron town @ country (sw),90.40799172407849
300,31.9,4,89.0,71.0,1925,14.0,79,2,vw rabbit custom,57.14916214945236
301,34.1,4,86.0,65.0,1975,15.2,79,3,maxda glc deluxe,54.028992291750264
302,35.7,4,98.0,80.0,1915,14.4,79,1,dodge colt hatchback custom,51.98313455344133
303,27.4,4,121.0,80.0,2670,15.0,79,1,amc spirit dl,64.95394661773557
304,25.4,5,183.0,77.0,3530,20.1,79,2,mercedes benz 300d,69.2335326174711
305,23.0,8,350.0,125.0,3900,17.4,79,1,cadillac eldorado,75.26707650997284
306,27.2,4,141.0,71.0,3190,24.8,79,2,peugeot 504,65.35578176562483
307,23.9,8,260.0,90.0,3420,22.2,79,1,oldsmobile cutlass salon brougham,72.87379787733607
308,34.2,4,105.0,70.0,2200,13.2,79,1,plymouth horizon,53.89596693179183
309,34.5,4,105.0,70.0,2150,14.9,79,1,plymouth horizon tc3,53.50115422237938
310,31.8,4,85.0,65.0,2020,19.2,79,3,datsun 210,57.30041655488243
311,37.3,4,91.0,69.0,2130,14.7,79,2,fiat strada custom,50.09947544092222
312,28.4,4,151.0,90.0,2670,16.0,79,1,buick skylark limited,63.02311394460186
313,28.8,6,173.0,115.0,2595,11.3,79,1,chevrolet citation,62.28541389048345
314,26.8,6,173.0,115.0,2700,12.9,79,1,oldsmobile omega brougham,66.17600568522995
315,33.5,4,151.0,90.0,2556,13.2,79,1,pontiac phoenix,54.84248781355096
316,41.5,4,98.0,76.0,2144,14.7,80,2,vw rabbit,45.79547922679345
317,38.1,4,89.0,60.0,1968,18.8,80,3,toyota corolla tercel,49.212405711502136
318,32.1,4,98.0,70.0,2120,15.5,80,1,chevrolet chevette,56.84925803145488
319,37.2,4,86.0,65.0,2019,16.4,80,3,datsun 310,50.21282795814508
320,28.0,4,151.0,90.0,2678,16.5,80,1,chevrolet citation,63.78020267961698
321,26.4,4,140.0,88.0,2870,18.1,80,1,ford fairmont,67.01909220851859
322,24.3,4,151.0,90.0,3003,20.1,80,1,amc concord,71.8626216634631
323,19.1,6,225.0,90.0,3381,18.7,80,1,dodge aspen,88.01109882785032
324,34.3,4,97.0,78.0,2188,15.8,80,2,audi 4000,53.7636560585274
325,29.8,4,134.0,90.0,2711,15.5,80,3,toyota corona liftback,60.52112652198352
326,31.3,4,120.0,75.0,2542,17.5,80,3,mazda 626,58.07002711546967
327,37.0,4,119.0,92.0,2434,15.0,80,3,datsun 510 hatchback,50.44122518544133
